date,p1CharCode,p2CharCode,winner
08-25 17:20:18,14,2,2
08-25 17:20:18,0,0,2
08-25 17:20:18,5,12,1
08-25 17:20:18,0,13,2
08-25 17:20:17,7,10,2
08-25 17:20:17,7,10,2
08-25 17:20:11,3,0,1
08-25 17:20:05,8,9,2
08-25 17:20:04,5,5,1
08-25 17:20:02,11,13,1
08-25 17:20:01,3,14,1
08-25 17:20:01,4,0,1
08-25 17:20:00,1,4,2
08-25 17:19:59,15,0,1
08-25 17:19:57,9,13,1
08-25 17:19:56,14,12,2
08-25 17:19:56,1,13,1
08-25 17:19:55,11,7,1
08-25 17:19:55,10,11,1
08-25 17:19:53,10,11,2
08-25 17:19:52,11,13,2
08-25 17:19:50,15,2,1
08-25 17:19:49,9,3,2
08-25 17:19:45,8,13,1
08-25 17:19:40,1,8,2
08-25 17:19:40,14,6,1
08-25 17:19:39,6,14,1
08-25 17:19:39,13,1,2
08-25 17:19:39,2,7,1
08-25 17:19:39,14,5,2
08-25 17:19:38,3,4,1
08-25 17:19:38,7,4,1
08-25 17:19:36,12,14,2
08-25 17:19:35,7,11,2
08-25 17:19:35,15,13,1
08-25 17:19:34,0,9,2
08-25 17:19:30,1,0,2
08-25 17:19:30,15,2,2
08-25 17:19:28,11,5,1
08-25 17:19:27,10,11,2
08-25 17:19:26,5,11,2
08-25 17:19:25,12,11,2
08-25 17:19:24,7,11,1
08-25 17:19:24,4,1,1
08-25 17:19:21,10,0,2
08-25 17:19:21,1,1,2
08-25 17:19:19,9,4,1
08-25 17:19:18,11,0,1
08-25 17:19:18,12,1,1
08-25 17:19:17,7,2,2
08-25 17:19:15,10,13,1
08-25 17:19:14,9,0,2
08-25 17:19:13,12,5,2
08-25 17:19:12,9,10,2
08-25 17:19:10,1,7,1
08-25 17:19:07,0,11,2
08-25 17:19:07,11,0,2
08-25 17:19:03,6,10,2
08-25 17:19:02,4,0,2
08-25 17:19:01,14,3,1
08-25 17:18:58,10,4,2
08-25 17:18:57,3,1,2
08-25 17:18:54,14,1,2
08-25 17:18:53,12,11,2
08-25 17:18:51,10,8,1
08-25 17:18:49,2,1,1
08-25 17:18:48,11,2,2
08-25 17:18:47,11,5,2
08-25 17:18:45,11,4,2
08-25 17:18:45,12,7,2
